Region,GDP per capita (TZS),Normalized_GDP,Market,Mean
Dar,4348990.0,1.0,0,0.0
Mbeya ,3506101.0,0.7192,0,0.0
Iringa ,3360551.0,0.6718,0,0.0
Njombe ,3317698.0,0.6566,0,0.0
Ruvuma ,3112316.0,0.5875,0,0.0
Kilimanjaro ,3074583.0,0.5752,0,0.0
Arusha ,3034353.0,0.5623,0,0.0
Lindi ,2604254.0,0.4181,0,0.0
Tanga ,2591074.0,0.4141,0,0.0
Mwanza ,2510138.0,0.3868,0,0.0
Manyara ,2483070.0,0.3779,0,0.0
Mtwara ,2471341.0,0.3742,0,0.0
Morogoro ,2392177.0,0.3474,0,0.0
Rukwa ,2325640.0,0.3251,0,0.0
Mara ,2137826.0,0.2623,0,0.0
Pwani ,1993403.0,0.2141,0,0.0
Songwe ,1969023.0,0.206,0,0.0
Shinyanga ,1861770.0,0.1701,0,0.0
Tabora ,1667808.0,0.1052,0,0.0
Dodoma ,1520720.0,0.056,0,0.0
Singida,1500190.0,0.0491,0,0.0
Kigoma ,1384819.0,0.0106,0,0.0
Kagera ,1353277.0,0.0,0,0.0
0,0.0,0.0,Makumbusho,185000.0
0,0.0,0.0,Mwananyamara,191750.0
0,0.0,0.0,Kawe market,408409.0
0,0.0,0.0,Magomeni market,630778.0
0,0.0,0.0,Sinza Africasana,498478.0
